Date,price_TSLA,vol8_TSLA,vol12_TSLA,vol24_TSLA,vol30_TSLA,macd_TSLA,log_ret_TSLA,log_ret_norm5_TSLA,sma8_TSLA,sma12_TSLA,sma24_TSLA,sma30_TSLA,ema8_TSLA,ema12_TSLA,ema24_TSLA,ema30_TSLA,volume_zscore8_TSLA,volume_zscore12_TSLA,volume_zscore24_TSLA,volume_zscore30_TSLA,^N225,HG=F,ZC=F,TLT,^GSPC,AUDUSD=X,CL=F,SHY,BRL=X,^VIX,NG=F,^FVX,UUP,SI=F,TIP,^IRX,IEF,HYG,day_of_week,month
2023-10-11,0.18122923897747026,0.23055458158620892,0.15027641508299577,0.0516721461820976,0.13440350038712637,-0.17622976006969673,0.9995278991361048,0.8434465357601787,-0.2541234685327438,-0.26359342169780187,-0.24724365812423568,-0.19597481804388137,-0.21921629510136886,-0.2508914480162139,-0.2750970607941911,-0.27355521267001776,0.08603931901281175,0.13578130511766012,0.3076032767852466,0.2769009306957631,0.05991612308358149,0.34344046011510965,0.07406438427925559,0.1155599179377503,0.5741430566311315,0.0518562588970867,-0.14928528576102404,0.22389554234910042,0.0025245299964834385,-0.3547425413913014,-0.038745289294376484,-0.2727973684102496,-0.42727544946578355,0.24311301238790686,0.17853120342622833,-0.08802544398460652,0.18367841377726954,0.36719377804928904,-0.24644797163902687,0.11936204915424894
2023-10-12,0.19781939041352292,0.2337195045508638,0.15546193288066615,0.05475447357342101,0.1385649394493767,-0.18105570307446445,0.9995301658395315,0.8521136502281402,-0.2587472826158554,-0.26600203291054925,-0.24828307481367978,-0.19540590890770063,-0.2252414305608011,-0.2564170991489868,-0.277476059637897,-0.27519227541050056,0.0943081874339179,0.1479949921355446,0.31043987184015737,0.27938717257262863,0.05008503372097263,0.3449587432018438,0.07363235305613887,0.13195439436379622,0.5784503491871655,0.05454266641533773,-0.14633209540386757,0.23116275426355376,0.0036449935830124604,-0.3567893360615145,-0.036839780387580796,-0.281092314787155,-0.4264324858973254,0.24732643865860865,0.19078648244770116,-0.08822061880312942,0.19548532893734663,0.372343203851357,-0.2503803975517887,0.101429883304788
2023-10-13,0.2591293570514626,0.31409865520237246,0.196714599589579,0.16169986868961875,0.2109270647865396,-0.06918955800574254,0.9997721702628706,0.8444201599015255,-0.18384092466718957,-0.19010469176467346,-0.20072972040983228,-0.1599469600312094,-0.1363913188867216,-0.17295714521139666,-0.21912002393637306,-0.2399429340398607,0.2375748946830612,0.3223945093781911,0.430033634804192,0.38098207986958177,-0.0012832805670650448,0.4053383969349908,0.03782308580429597,0.06620205278787587,0.589606268792256,0.046099875026068333,-0.19069537551649504,0.17245543565234372,-0.029824414060995234,-0.39595679059280947,0.06335321396887948,-0.1844160823418879,-0.39033851612408144,0.15152663623414353,0.17397635168598277,-0.09951221464658118,0.11042034148756599,0.3497039377197858,-0.2529904583871044,-0.010014320144915241
2023-10-16,0.26418532870067457,0.3060309182324954,0.1902535687073818,0.14334423319771641,0.2068458449097838,-0.05714050910458217,0.999769598343858,0.8442449007146706,-0.17449881833162031,-0.18259176943596955,-0.19429963422278257,-0.15331662437893614,-0.12680669364736039,-0.1646925305100145,-0.21241067794162266,-0.23293958823725897,0.231204549651066,0.3172939491181205,0.40912759196849785,0.3656794490933253,-0.01653813861460377,0.4054021496869922,0.029221028378226287,0.059490060474239756,0.5884968475896812,0.04920476088515403,-0.19042012834048674,0.16755694213574407,-0.029714110812323318,-0.40070283178749144,0.051723972359582635,-0.1791423832675323,-0.3899448931047278,0.14874818408179238,0.17051017464744686,-0.09836259851160722,0.10514146628234669,0.3559275991686895,-0.25339011565706815,-0.010621100880941385
2023-10-17,0.24542840204041588,0.2791607774744098,0.1793442565804376,0.10806691144764048,0.18483016916393918,-0.10098327063124643,0.9997634016299929,0.8368997875997775,-0.22420741739871072,-0.22859389122341955,-0.23024573806823295,-0.1841150322101455,-0.1695445528718548,-0.21221107387509505,-0.25494288871464105,-0.2660864693950141,0.22808717697573075,0.30520939415220577,0.4022477603022884,0.3646240917166051,-0.03776671217410871,0.3930315081510353,-0.06065904266131167,0.060121852653225435,0.5847623653184494,0.07473109172337832,-0.2167291124912223,0.1850276083752203,-0.017134803823432163,-0.4090404934884311,0.05908617492398869,-0.17852345687833032,-0.41160469448369386,0.1641024461587725,0.1634531886844311,-0.09776687493964545,0.10561938582439283,0.36136652060523905,-0.2323712327681389,0.029319889922935632
2023-10-18,0.26787641037543075,0.3059563773247745,0.19268868346953566,0.164337376665778,0.21721727780763025,-0.08714001741583483,0.9997505813620435,0.8471417529102514,-0.21917981766542124,-0.22319559738179282,-0.21829387466295966,-0.17756754872227679,-0.1580572514361843,-0.20192715396496688,-0.24612090246079957,-0.26047307607947884,0.17059001240542623,0.2594500673822198,0.3589634620109028,0.3322843130257509,-0.03806559265353666,0.39776733031910677,-0.07685391499355063,0.0727847647192572,0.609212210752531,0.05361000868158295,-0.23267483298239233,0.18166772324818392,-0.025956992504593445,-0.4271359672326134,0.06858524966331928,-0.18318465851122698,-0.42783027585990663,0.15895593588022247,0.16785938218083987,-0.06039048064583053,0.12042186805466118,0.3800191363496492,-0.2338990579247897,-0.024970563389449366
2023-10-19,0.3498916716731486,0.252487487599955,0.13934902497256657,0.17921431400507606,0.17966504424744711,-0.05197625733906044,0.9995671992220113,0.85052679803762,-0.20235526697507986,-0.21677246250360954,-0.19422851739590663,-0.17072754925802636,-0.11732324164765152,-0.1695204504438356,-0.2197993035284906,-0.23694899861790436,0.04816454081818279,0.11118769121395101,0.15005630841234857,0.15418114724848575,0.04669539716421427,0.351410510974773,-0.1705545348844595,0.13547631343627323,0.6093308468427301,0.08274595201336127,-0.2429323612154426,0.10931634096972392,-0.04166714093633835,-0.46959800144357516,0.1098213124963362,-0.1909162064819279,-0.3411344404212768,0.15237829949633921,0.15882927561943436,0.03203850999902586,0.147651152864481,0.39426736777353294,-0.2492806272199901,-0.09544328543761683
2023-10-20,0.38167600848929784,0.25986721859773176,0.14819355045653038,0.19733866812597825,0.17680213601637354,-0.01006919707647552,0.9995681861451047,0.839608579130533,-0.16740124278516944,-0.18714316075037288,-0.1639553668569493,-0.1472470442363997,-0.0703784388531939,-0.1252596887991081,-0.181541478909418,-0.20360940210530992,0.01937907380420752,0.08119102614016542,0.11264251544949655,0.1182046560733465,0.0652801035126133,0.3599953010952384,-0.1594348995475613,0.10232547588317914,0.6148995788401668,0.07391641167685672,-0.22163916990722476,0.05962613291433621,-0.05083221087795678,-0.45596878826295484,0.09340296117154974,-0.12693321847378738,-0.3143997845975679,0.10488548975582454,0.11828818820209414,0.04732928358140334,0.09542311316694611,0.361050449131514,-0.2598704192351779,-0.1555344818317401
2023-10-23,0.34071527516490124,0.23483223729573488,0.1296962082360838,0.18267337665007807,0.15168026468319543,-0.04198298667151116,0.9995512190145237,0.8258865002299747,-0.20655117260813727,-0.2464253220921593,-0.2129319428262008,-0.19613850228472965,-0.10949615786631947,-0.1739157864787237,-0.23698610717563132,-0.2527875571643978,0.03782716676394159,0.0994649191360068,0.12948237326403647,0.13952812326945935,0.07186914291189345,0.3372357860094079,-0.12774790358312604,0.09000259682781835,0.6009807200905495,0.1011700753407397,-0.2270681362310264,0.03343030391615212,-0.05331559175076725,-0.43578025834389855,0.05783802408021549,-0.10510484954017663,-0.2990451258537949,0.09555943757557472,0.09539682945563846,0.07577702095929303,0.07935893571760796,0.33371680431916984,-0.29974188869086055,-0.10698856236994507
2023-10-24,0.29994911292514476,0.24299121059966974,0.1304856782141022,0.17704738994436375,0.1268685899848918,-0.06818244066055021,0.9995560931677702,0.8252472908563175,-0.22848021760603549,-0.27191442549287076,-0.23573950065688704,-0.2141074440748954,-0.13939088570028393,-0.20346760763455296,-0.2671031321957942,-0.28013995527420454,0.03961044178395139,0.10506031512119887,0.13686244217340543,0.14787562786780117,0.07137303451684794,0.35065043879763563,-0.13528544228819378,0.10329810489014493,0.6056461219913692,0.11364699971520355,-0.24187684245212565,0.02844842688538422,-0.05925135774921943,-0.4449367718057097,0.0628373107038216,-0.0995250767585609,-0.2757027339908133,0.08911826156401974,0.09873748606860046,0.09288721953864217,0.08400455856828976,0.3437685120021883,-0.30619039688872046,-0.0833853855406371
