Date,ADBE,AMZN,AVGO,CAT,COST,JPM,LLY,MA,MSFT,NVDA,UNH,XOM,ADBE_volume,AMZN_volume,AVGO_volume,CAT_volume,COST_volume,JPM_volume,LLY_volume,MA_volume,MSFT_volume,NVDA_volume,UNH_volume,XOM_volume,^GSPC,^N225,CL=F,SI=F,NG=F,HG=F,ZC=F,^FVX,^IRX,TLT,IEF,SHY,TIP,UUP,^VIX,HYG,BRL=X,AUDUSD=X
2023-03-14,333.3299865722656,94.87999725341797,60.6898078918457,216.8470458984375,464.6377868652344,126.56370544433594,321.6017761230469,347.6927490234375,256.2367858886719,24.04571533203125,447.1402587890625,98.96296691894531,3850900,60912700,25893000,3754900,2422900,29648100,4214300,3413300,33620300,474910000,3258200,18263500,3919.2900390625,27222.0390625,71.33000183105469,21.929000854492188,2.572999954223633,4.010499954223633,627.5,3.7980000972747803,4.679999828338623,95.0565185546875,90.11227416992188,75.0679702758789,100.99636840820312,25.263885498046875,23.729999542236328,64.41775512695312,5.245699882507324,0.6659198999404907
2023-03-15,333.6099853515625,96.19999694824219,60.073753356933594,208.76585388183594,468.24359130859375,120.58433532714844,323.961669921875,343.0216064453125,260.8055725097656,24.210596084594727,447.9583740234375,94.03981018066406,4627100,70731800,22963000,5471700,2226300,34280600,4743500,3082600,46028000,524486000,3770200,25733800,3891.929931640625,27229.48046875,67.61000061035156,21.77400016784668,2.438999891281128,3.8564999103546143,626.5,3.578000068664551,4.558000087738037,96.8920669555664,91.41435241699219,75.50898742675781,102.22722625732422,25.533702850341797,26.139999389648438,64.20759582519531,5.251699924468994,0.6689097881317139
2023-03-16,353.2900085449219,100.04000091552734,61.07748031616211,210.15916442871094,469.7862548828125,122.92533111572266,324.0206298828125,342.9427795410156,271.3777160644531,25.52265167236328,454.3009948730469,93.49382019042969,6946600,84446900,31716000,3555000,1979600,24558500,3498200,3768100,54768800,583253000,2940500,27465200,3960.280029296875,27010.609375,68.3499984741211,21.58799934387207,2.5139999389648438,3.885499954223633,632.75,3.742000102996826,4.53000020980835,96.13410949707031,90.59247589111328,75.20578002929688,101.07096862792969,25.50672149658203,22.989999771118164,64.62788391113281,5.287099838256836,0.6618300080299377
2023-03-17,358.1400146484375,98.94999694824219,60.54682922363281,206.60379028320312,469.583740234375,118.28095245361328,323.6764831542969,344.5786437988281,274.55133056640625,25.706520080566406,451.87554931640625,92.39258575439453,6725400,87300200,79303000,7203000,3959300,38396000,8679800,8426800,69527400,848547000,5290000,43199500,3916.639892578125,27333.7890625,66.73999786376953,22.35099983215332,2.3380000591278076,3.9135000705718994,634.25,3.4660000801086426,4.293000221252441,97.57699584960938,91.66371154785156,75.58245086669922,101.28543090820312,25.36281967163086,25.510000228881836,64.24263763427734,5.229599952697754,0.6663401126861572
2023-03-20,362.8800048828125,97.70999908447266,61.769344329833984,211.6966094970703,471.743408203125,119.5313720703125,328.0226135253906,344.2436218261719,267.4770202636719,25.881393432617188,459.0555419921875,94.80789184570312,3946800,62388900,25857000,3464200,1623800,22875500,3540900,3864200,43466600,432747000,3119400,32042100,3951.570068359375,26945.669921875,67.63999938964844,22.533000946044922,2.2230000495910645,3.9755001068115234,633.0,3.575000047683716,4.465000152587891,96.71856689453125,91.2943344116211,75.4905776977539,101.37869262695312,25.218915939331055,24.149999618530273,64.06749725341797,5.2778000831604,0.6713212132453918
2023-03-21,374.2200012207031,100.61000061035156,61.54124450683594,216.1263427734375,473.24749755859375,122.73731231689453,325.5447082519531,349.4173583984375,269.0,26.180179595947266,462.0776672363281,99.05551147460938,4479200,58597300,25000000,3074600,1664000,17807800,3240400,3766800,34558700,547408000,3163300,31592300,4002.8701171875,,69.33000183105469,22.323999404907227,2.3480000495910645,4.018499851226807,630.0,3.746000051498413,4.605000019073486,95.88753509521484,90.50013732910156,75.20578002929688,101.16419982910156,25.209924697875977,21.3799991607666,64.76799011230469,5.2357001304626465,0.6716899871826172
2023-03-22,361.7099914550781,98.69999694824219,60.977779388427734,211.3506622314453,470.03692626953125,119.5689697265625,325.4365539550781,345.92877197265625,267.53594970703125,26.44898223876953,457.66961669921875,96.78825378417969,3878400,57475400,25799000,2930200,1299700,17250200,2472200,2596400,34873300,797295000,2632200,14952700,3936.969970703125,27466.609375,70.9000015258789,22.674999237060547,2.1710000038146973,4.06850004196167,633.5,3.572999954223633,4.563000202178955,97.16604614257812,91.69142150878906,75.5549087524414,102.55359649658203,25.02105140686035,22.260000228881836,64.82927703857422,5.240900039672852,0.667789876461029
2023-03-23,369.0,98.70999908447266,61.78093338012695,210.86061096191406,470.2684020996094,119.24930572509766,327.07867431640625,349.22021484375,272.8122253417969,27.171464920043945,452.2702331542969,95.69628143310547,3138600,57559300,27162000,2957400,1565900,16677600,2703400,2598100,36610900,564889000,3284900,14385900,3948.719970703125,27419.609375,69.95999908447266,23.143999099731445,2.1540000438690186,4.145999908447266,631.75,3.4170000553131104,4.502999782562256,97.16604614257812,92.21780395507812,75.775390625,102.74009704589844,25.057025909423828,22.610000610351562,64.5753402709961,5.236100196838379,0.6699314713478088
2023-03-24,374.9599914550781,98.12999725341797,61.48519515991211,208.52561950683594,477.5089416503906,117.43482208251953,330.51031494140625,346.5200500488281,275.6714172363281,26.759761810302734,458.1219482421875,95.80732727050781,2993400,56095400,17228000,2976800,1635200,22311100,2791900,2971500,28172000,454920000,2533200,13401600,3970.989990234375,27385.25,69.26000213623047,23.246999740600586,2.2160000801086426,4.101500034332275,643.0,3.4089999198913574,4.502999782562256,97.57699584960938,92.24552154541016,75.81214904785156,102.47900390625,25.209924697875977,21.739999771118164,64.44401550292969,5.2967000007629395,0.6681597828865051
2023-03-27,373.1499938964844,98.04000091552734,60.58345413208008,209.47691345214844,475.5325622558594,120.80057525634766,329.005859375,349.4665832519531,271.55462646484375,26.51194190979004,463.81011962890625,97.90799713134766,2832200,46721300,14707000,3209500,1452100,18853900,3102300,2420300,26840200,361026000,2271800,14805900,3977.530029296875,27476.869140625,72.80999755859375,23.054000854492188,2.0880000591278076,4.104499816894531,648.25,3.5950000286102295,4.583000183105469,95.28482818603516,91.1096420288086,75.4905776977539,101.67707824707031,25.128976821899414,20.600000381469727,64.2863998413086,5.245100021362305,0.665530800819397
